# Point to Point Tunnels
# Upstream's IP is Network ID + 1, Downstream's is Network ID + 2
# Bidirection arrow means they both aren't behind NAT

# Network ID		Upstream	     Downstream
10.127.0.0/30		caasih		<--> ucbvax
10.127.0.4/30		caasih		 --> NeoPortable
10.127.0.8/30		ucbvax		 --> NeoPortable
10.127.0.12/30		ucbvax		 --> NeoPDP-11
10.127.0.16/30		caasih		 --> NeoPDP-11
10.127.0.20/30		NeoPortable	<--> NeoVAX
10.127.0.24/30		NeoPDP-11	 --> NeoPortable
10.127.0.28/30		ucbvax		 --> fionaLHS
10.127.0.32/30		caasih		 --> ncuiqh

# Continuous Subnet
10.127.1.0/24		CROOM
